season,rank,name,short_name,matchesplayed,matcheswon,matcheslost,noresult,matchpoints,nrr,for,against
2022,1,Gujarat Titans,GT,14,10,4,0,20,0.316,2339/278.1,2216/273.5
2022,2,Rajasthan Royals,RR,14,9,5,0,18,0.298,2464/279.2,2351/275.5
2022,3,Lucknow Super Giants,LSG,14,9,5,0,18,0.251,2355/279.1,2289/279.4
2022,4,Royal Challengers Bangalore,RCB,14,8,6,0,16,-0.253,2268/275.4,2260/266.3
2022,5,Delhi Capitals,DC,14,7,7,0,14,0.204,2341/266.0,2397/278.5
2022,6,Punjab Kings,KXIP,14,7,7,0,14,0.126,2343/270.1,2252/263.3
2022,7,Kolkata Knight Riders,KKR,14,6,8,0,12,0.146,2223/268.1,2249/276.1
2022,8,Sunrisers Hyderabad,SRH,14,6,8,0,12,-0.379,2197/261.3,2416/275.1
2022,9,Chennai Super Kings,CSK,14,4,10,0,8,-0.203,2288/280.0,2254/269.1
2022,10,Mumbai Indians,MI,14,4,10,0,8,-0.506,2217/273.2,2351/272.5
