season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain,href
2022,1304047,CSK v KKR,CSK,KKR,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,1,UT Yadav,Umesh Yadav,4,0,20,2,5.00,15,1,1,2,1,False,https://www.espncricinfo.com/ci/content/player/376116.html
2022,1304047,CSK v KKR,CSK,KKR,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,1,Shivam Mavi,Shivam Mavi,4,0,35,0,8.75,12,3,2,1,1,False,https://www.espncricinfo.com/ci/content/player/1079848.html
2022,1304047,CSK v KKR,CSK,KKR,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,1,CV Varun,Varun Chakravarthy,4,0,23,1,5.75,11,1,1,1,0,False,https://www.espncricinfo.com/ci/content/player/1108375.html
2022,1304047,CSK v KKR,CSK,KKR,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,1,SP Narine,Sunil Narine,4,0,15,0,3.75,10,0,0,0,0,False,https://www.espncricinfo.com/ci/content/player/230558.html
2022,1304047,CSK v KKR,CSK,KKR,KKR,"Wankhede Stadium, Mumbai",Mumbai,India,1,AD Russell,Andre Russell,4,0,38,1,9.50,7,5,1,0,0,False,https://www.espncricinfo.com/ci/content/player/276298.html
2022,1304047,CSK v KKR,CSK,KKR,CSK,"Wankhede Stadium, Mumbai",Mumbai,India,2,TU Deshpande,Tushar Deshpande,3,0,23,0,7.66,9,4,0,0,0,False,https://www.espncricinfo.com/ci/content/player/822553.html
2022,1304047,CSK v KKR,CSK,KKR,CSK,"Wankhede Stadium, Mumbai",Mumbai,India,2,AF Milne,Adam Milne,2.3,0,19,0,7.60,9,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/450860.html
2022,1304047,CSK v KKR,CSK,KKR,CSK,"Wankhede Stadium, Mumbai",Mumbai,India,2,MJ Santner,Mitchell Santner,4,0,31,1,7.75,5,1,1,0,0,False,https://www.espncricinfo.com/ci/content/player/502714.html
2022,1304047,CSK v KKR,CSK,KKR,CSK,"Wankhede Stadium, Mumbai",Mumbai,India,2,DJ Bravo,Dwayne Bravo,4,0,20,3,5.00,11,2,0,0,0,False,https://www.espncricinfo.com/ci/content/player/51439.html
2022,1304047,CSK v KKR,CSK,KKR,CSK,"Wankhede Stadium, Mumbai",Mumbai,India,2,S Dube,Shivam Dube,1,0,11,0,11.00,1,2,0,0,0,False,https://www.espncricinfo.com/ci/content/player/714451.html
