season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,highlights,home_key_batsman,home_key_bowler,home_playx1,away_playx1,away_key_batsman,away_key_bowler,match_days,umpire1,umpire2,tv_umpire,referee,reserve_umpire
2022,1304047,Chennai Super Kings v Kolkata Knight Riders,CSK v KKR,"1st Match (N), Indian Premier League at Mumbai, Mar 26 2022",CSK,KKR,KKR,BOWL FIRST,131/5,133/4,131/5,133/4,KKR,KKR won by 6 wkts (9b rem),2022-03-26T14:00Z,2022-03-27T23:59Z,58324,"Wankhede Stadium, Mumbai",Ravindra Jadeja,Shreyas Iyer,Umesh Yadav,"Kolkata Knight Riders 2, Chennai Super Kings 0",False,20,131,5,15,18.3,133,4,15,Dhoni's fireworks not enough for Chennai Super Kings in opener. KKR's mystery spinners Narine and Chakravarthy prove unhittable; Rahane shines with the bat,"MS Dhoni,Robin Uthappa","Dwayne Bravo,Mitchell Santner","Ruturaj Gaikwad (UKN),Devon Conway (UKN),Robin Uthappa (UKN),Ambati Rayudu (UKN),Ravindra Jadeja (AR),Shivam Dube (AR),MS Dhoni (WK),Dwayne Bravo (AR),Mitchell Santner (AR),Adam Milne (BL),Tushar Deshpande (BL)","Ajinkya Rahane (UKN),Venkatesh Iyer (AR),Nitish Rana (UKN),Shreyas Iyer (UKN),Sam Billings (UKN),Sheldon Jackson (WK),Andre Russell (AR),Sunil Narine (AR),Umesh Yadav (BL),Shivam Mavi (AR),Varun Chakravarthy (BL)","Ajinkya Rahane,Sam Billings","Umesh Yadav,Varun Chakravarthy",26 March 2022 - night match (20-over match),Anil Chaudhary,Nitin Menon,Virender Sharma,Manu Nayyar,Chirra Ravikanthreddy
2022,1304048,Delhi Capitals v Mumbai Indians,DC v MI,"2nd Match (D/N), Indian Premier League at Mumbai, Mar 27 2022",DC,MI,DC,BOWL FIRST,177/5,179/6,179/6,177/5,DC,Capitals won by 4 wkts (10b rem),2022-03-27T10:00Z,2022-03-28T23:59Z,58317,"Brabourne Stadium, Mumbai",Rishabh Pant,Rohit Sharma,Kuldeep Yadav,"Delhi Capitals 2, Mumbai Indians 0",False,18.2,179,6,25,20,177,5,24,"Lalit Yadav and Axar Patel help Delhi Capitals pull off coup. Kuldeep Yadav was adjudged Player of the Match for his 3 for 18, while Ishan Kishan's 81* went in vain","Lalit Yadav,Axar Patel","Kuldeep Yadav,Khaleel Ahmed","Prithvi Shaw (UKN),Tim Seifert (UKN),Mandeep Singh (AR),Rishabh Pant (WK),Lalit Yadav (AR),Rovman Powell (UKN),Shardul Thakur (BL),Axar Patel (AR),Kuldeep Yadav (BL),Khaleel Ahmed (BL),Kamlesh Nagarkoti (BL)","Rohit Sharma (UKN),Ishan Kishan (WK),Anmolpreet Singh (UKN),Tilak Varma (AR),Kieron Pollard (AR),Tim David (UKN),Daniel Sams (AR),Murugan Ashwin (BL),Tymal Mills (BL),Jasprit Bumrah (BL),Basil Thampi (BL)","Ishan Kishan,Rohit Sharma","Basil Thampi,Murugan Ashwin",27 March 2022 - day/night match (20-over match),Saiyed Khalid,Rod Tucker,Jayaraman Madanagopal,Prakash Bhatt,Nitin Pandit
2022,1304049,Punjab Kings v Royal Challengers Bangalore,PBKS v RCB,"3rd Match (N), Indian Premier League at Navi Mumbai, Mar 27 2022",PBKS,RCB,KXIP,BOWL FIRST,205/2,208/5,208/5,205/2,PBKS,Punjab Kings won by 5 wkts (6b rem),2022-03-27T14:00Z,2022-03-28T23:59Z,343050,"Dr DY Patil Sports Academy, Navi Mumbai",Mayank Agarwal,Faf du Plessis,Odean Smith,"Punjab Kings 2, Royal Challengers Bangalore 0",False,19,208,5,25,20,205,2,22,"Odean seals the deal as Punjab Kings ace steep chase. RCB's slow start proved the difference between the sides, even if du Plessis made up for it during his 57-ball 88","Bhanuka Rajapaksa,Shikhar Dhawan","Rahul Chahar,Arshdeep Singh","Mayank Agarwal (UKN),Shikhar Dhawan (UKN),Bhanuka Rajapaksa (WK),Liam Livingstone (AR),Raj Bawa (AR),M Shahrukh Khan (UKN),Odean Smith (AR),Harpreet Brar (BL),Arshdeep Singh (BL),Sandeep Sharma (BL),Rahul Chahar (BL)","Faf du Plessis (UKN),Anuj Rawat (UKN),Virat Kohli (UKN),Dinesh Karthik (WK),Sherfane Rutherford (UKN),David Willey (AR),Shahbaz Ahmed (AR),Wanindu Hasaranga de Silva (AR),Harshal Patel (BL),Mohammed Siraj (BL),Akash Deep (AR)","Faf du Plessis,Virat Kohli","Mohammed Siraj,Harshal Patel",27 March 2022 - night match (20-over match),Yeshwant Barde,Nitin Menon,Anil Chaudhary,Manu Nayyar,Rohan Pandit
2022,1304050,Gujarat Titans v Lucknow Super Giants,GT v LSG,"4th Match (N), Indian Premier League at Mumbai, Mar 28 2022",GT,LSG,GT,BOWL FIRST,158/6,161/5,161/5,158/6,GT,Titans won by 5 wkts (2b rem),2022-03-28T14:00Z,2022-03-29T23:59Z,58324,"Wankhede Stadium, Mumbai",Hardik Pandya,KL Rahul,Mohammed Shami,"Gujarat Titans 2, Lucknow Super Giants 0",False,19.4,161,5,23,20,158,6,22,Shami and Tewatia star as Gujarat Titans win battle of new teams. Eye-catching batting displays from IPL debutants Ayush Badoni and Abhinav Manohar also lit up a tense match at the Wankhede,"Rahul Tewatia,Hardik Pandya","Mohammed Shami,Varun Aaron","Shubman Gill (UKN),Matthew Wade (WK),Vijay Shankar (AR),Hardik Pandya (AR),David Miller (UKN),Rahul Tewatia (AR),Abhinav Manohar (AR),Rashid Khan (BL),Lockie Ferguson (BL),Mohammed Shami (BL),Varun Aaron (BL)","KL Rahul (UKN),Quinton de Kock (WK),Evin Lewis (UKN),Manish Pandey (UKN),Deepak Hooda (AR),Ayush Badoni (UKN),Krunal Pandya (AR),Dushmantha Chameera (BL),Mohsin Khan (BL),Ravi Bishnoi (BL),Avesh Khan (BL)","Deepak Hooda,Ayush Badoni","Dushmantha Chameera,Krunal Pandya",28 March 2022 - night match (20-over match),Pashchim Pathak,Virender Sharma,Rod Tucker,Daniel Manohar,Sadashiv Iyer
2022,1304051,Sunrisers Hyderabad v Rajasthan Royals,SRH v RR,"5th Match (N), Indian Premier League at Pune, Mar 29 2022",SRH,RR,SRH,BOWL FIRST,210/6,149/7,149/7,210/6,RR,Royals won by 61 runs,2022-03-29T14:00Z,2022-03-30T23:59Z,545380,"Maharashtra Cricket Association Stadium, Pune",Kane Williamson,Sanju Samson,Sanju Samson,"Rajasthan Royals 2, Sunrisers Hyderabad 0",False,20,149,7,17,20,210,6,30,"Samson, Padikkal, Hetmyer sound Royals warning. Become the first team to defend a total in IPL 2022 with Krishna's new-ball burst swamping Sunrisers","Aiden Markram,Washington Sundar","Umran Malik,T Natarajan","Kane Williamson (UKN),Abhishek Sharma (AR),Rahul Tripathi (UKN),Nicholas Pooran (WK),Aiden Markram (UKN),Abdul Samad (UKN),Romario Shepherd (AR),Washington Sundar (AR),Bhuvneshwar Kumar (BL),Umran Malik (BL),T Natarajan (BL)","Jos Buttler (UKN),Yashasvi Jaiswal (UKN),Sanju Samson (WK),Devdutt Padikkal (UKN),Shimron Hetmyer (UKN),Riyan Parag (UKN),Nathan Coulter-Nile (AR),Ravichandran Ashwin (AR),Yuzvendra Chahal (BL),Trent Boult (BL),Prasidh Krishna (BL)","Sanju Samson,Devdutt Padikkal","Yuzvendra Chahal,Prasidh Krishna",29 March 2022 - night match (20-over match),Ulhas Gandhe,Bruce Oxenford,KN Ananthapadmanabhan,Shakti Singh,Saidharshan Kumar
2022,1304052,Royal Challengers Bangalore v Kolkata Knight Riders,RCB v KKR,"6th Match (N), Indian Premier League at Navi Mumbai, Mar 30 2022",RCB,KKR,RCB,BOWL FIRST,128,132/7,132/7,128,RCB,RCB won by 3 wkts (4b rem),2022-03-30T14:00Z,2022-03-31T23:59Z,343050,"Dr DY Patil Sports Academy, Navi Mumbai",Faf du Plessis,Shreyas Iyer,Wanindu Hasaranga de Silva,"Royal Challengers Bangalore 2, Kolkata Knight Riders 0",False,19.2,132,7,16,18.5,128,10,18,"Harshal Patel and Dinesh Karthik help Royal Challengers survive a scare. Kolkata Knight Riders' bowlers fought really hard to defend 128, but it was not to be","Sherfane Rutherford,Shahbaz Ahmed","Wanindu Hasaranga de Silva,Akash Deep","Faf du Plessis (UKN),Anuj Rawat (UKN),Virat Kohli (UKN),David Willey (AR),Sherfane Rutherford (UKN),Shahbaz Ahmed (AR),Dinesh Karthik (WK),Wanindu Hasaranga de Silva (AR),Harshal Patel (BL),Mohammed Siraj (BL),Akash Deep (AR)","Ajinkya Rahane (UKN),Venkatesh Iyer (AR),Shreyas Iyer (UKN),Nitish Rana (UKN),Sunil Narine (AR),Sam Billings (UKN),Sheldon Jackson (WK),Andre Russell (AR),Tim Southee (BL),Umesh Yadav (BL),Varun Chakravarthy (BL)","Andre Russell,Umesh Yadav","Tim Southee,Umesh Yadav",30 March 2022 - night match (20-over match),Jayaraman Madanagopal,Navdeep Singh,Nitin Menon,Manu Nayyar,Chirra Ravikanthreddy
2022,1304053,Lucknow Super Giants v Chennai Super Kings,LSG v CSK,"7th Match (N), Indian Premier League at Mumbai, Mar 31 2022",LSG,CSK,LSG,BOWL FIRST,210/7,211/4,211/4,210/7,LSG,Super Giants won by 6 wkts (3b rem),2022-03-31T14:00Z,2022-04-01T23:59Z,58317,"Brabourne Stadium, Mumbai",KL Rahul,Ravindra Jadeja,Evin Lewis,"Lucknow Super Giants 2, Chennai Super Kings 0",False,19.3,211,4,27,20,210,7,32,"Evin Lewis, Quinton de Kock help Super Giants hunt down 211 for first win. Second straight loss for defending champions CSK as Super Giants steal it at the close","Quinton de Kock,Evin Lewis","Ravi Bishnoi,Avesh Khan","KL Rahul (UKN),Quinton de Kock (WK),Manish Pandey (UKN),Evin Lewis (UKN),Deepak Hooda (AR),Ayush Badoni (UKN),Krunal Pandya (AR),Dushmantha Chameera (BL),Andrew Tye (BL),Ravi Bishnoi (BL),Avesh Khan (BL)","Robin Uthappa (UKN),Ruturaj Gaikwad (UKN),Moeen Ali (AR),Shivam Dube (AR),Ambati Rayudu (UKN),Ravindra Jadeja (AR),MS Dhoni (WK),Dwaine Pretorius (AR),Dwayne Bravo (AR),Tushar Deshpande (BL),Mukesh Choudhary (BL)","Robin Uthappa,Shivam Dube","Dwaine Pretorius,Dwayne Bravo",31 March 2022 - night match (20-over match),Virender Sharma,Rod Tucker,Yeshwant Barde,Javagal Srinath,Nikhil Patwardhan
2022,1304054,Kolkata Knight Riders v Punjab Kings,KKR v PBKS,"8th Match (N), Indian Premier League at Mumbai, Apr 1 2022",KKR,PBKS,KKR,BOWL FIRST,137,141/4,141/4,137,KKR,KKR won by 6 wkts (33b rem),2022-04-01T14:00Z,2022-04-02T23:59Z,58324,"Wankhede Stadium, Mumbai",Shreyas Iyer,Mayank Agarwal,Umesh Yadav,"Kolkata Knight Riders 2, Punjab Kings 0",False,14.3,141,4,20,18.2,137,10,19,"Russell's 70 off 31 helps Knight Riders brush aside Kings. After Umesh's four-for restricted Kings, Russell came to the rescue in a shaky chase to lift KKR to the top of the table","Andre Russell,Shreyas Iyer","Umesh Yadav,Tim Southee","Ajinkya Rahane (UKN),Venkatesh Iyer (AR),Shreyas Iyer (UKN),Sam Billings (WK),Nitish Rana (UKN),Andre Russell (AR),Sunil Narine (AR),Tim Southee (BL),Umesh Yadav (BL),Varun Chakravarthy (BL),Shivam Mavi (AR)","Mayank Agarwal (UKN),Shikhar Dhawan (UKN),Bhanuka Rajapaksa (WK),Liam Livingstone (AR),Raj Bawa (AR),M Shahrukh Khan (UKN),Harpreet Brar (BL),Odean Smith (AR),Rahul Chahar (BL),Kagiso Rabada (BL),Arshdeep Singh (BL)","Bhanuka Rajapaksa,Kagiso Rabada","Rahul Chahar,Kagiso Rabada",1 April 2022 - night match (20-over match),Anil Chaudhary,Saiyed Khalid,Jayaraman Madanagopal,Prakash Bhatt,Akshay Totre
2022,1304055,Mumbai Indians v Rajasthan Royals,MI v RR,"9th Match (D/N), Indian Premier League at Navi Mumbai, Apr 2 2022",MI,RR,MI,BOWL FIRST,193/8,170/8,170/8,193/8,RR,Royals won by 23 runs,2022-04-02T10:00Z,2022-04-03T23:59Z,343050,"Dr DY Patil Sports Academy, Navi Mumbai",Rohit Sharma,Sanju Samson,Jos Buttler,"Rajasthan Royals 2, Mumbai Indians 0",False,20,170,8,21,20,193,8,28,"Buttler ton, Chahal-Ashwin spin strangle take Royals over the line. Ishan Kishan and Tilak Varma half-centuries kept Mumbai in the game, but a poor spell against the spinners made them fall well short in the end","Tilak Varma,Ishan Kishan","Jasprit Bumrah,Tymal Mills","Ishan Kishan (WK),Rohit Sharma (UKN),Anmolpreet Singh (UKN),Tilak Varma (AR),Kieron Pollard (AR),Tim David (UKN),Daniel Sams (AR),Murugan Ashwin (BL),Jasprit Bumrah (BL),Tymal Mills (BL),Basil Thampi (BL)","Jos Buttler (UKN),Yashasvi Jaiswal (UKN),Devdutt Padikkal (UKN),Sanju Samson (WK),Shimron Hetmyer (UKN),Riyan Parag (UKN),Ravichandran Ashwin (AR),Navdeep Saini (BL),Trent Boult (BL),Yuzvendra Chahal (BL),Prasidh Krishna (BL)","Jos Buttler,Shimron Hetmyer","Yuzvendra Chahal,Navdeep Saini",2 April 2022 - day/night match (20-over match),Nitin Menon,Pashchim Pathak,Virender Sharma,Daniel Manohar,Nitin Pandit
2022,1304056,Gujarat Titans v Delhi Capitals,GT v DC,"10th Match (N), Indian Premier League at Pune, Apr 2 2022",GT,DC,DC,BOWL FIRST,171/6,157/9,171/6,157/9,GT,Titans won by 14 runs,2022-04-02T14:00Z,2022-04-03T23:59Z,545380,"Maharashtra Cricket Association Stadium, Pune",Hardik Pandya,Rishabh Pant,Lockie Ferguson,"Gujarat Titans 2, Delhi Capitals 0",False,20,171,6,19,20,157,9,21,"Gill and Ferguson make it two in two for Gujarat Titans. Delhi Capitals seemed in control, but two double-wicket overs from the New Zealand quick dismantled their chase","Shubman Gill,Hardik Pandya","Lockie Ferguson,Mohammed Shami","Matthew Wade (WK),Shubman Gill (UKN),Vijay Shankar (AR),Hardik Pandya (AR),David Miller (UKN),Rahul Tewatia (AR),Abhinav Manohar (AR),Rashid Khan (BL),Varun Aaron (BL),Lockie Ferguson (BL),Mohammed Shami (BL)","Prithvi Shaw (UKN),Tim Seifert (UKN),Mandeep Singh (AR),Rishabh Pant (WK),Lalit Yadav (AR),Rovman Powell (UKN),Axar Patel (AR),Shardul Thakur (BL),Kuldeep Yadav (BL),Khaleel Ahmed (BL),Mustafizur Rahman (BL)","Rishabh Pant,Lalit Yadav","Mustafizur Rahman,Khaleel Ahmed",2 April 2022 - night match (20-over match),KN Ananthapadmanabhan,Ulhas Gandhe,Bruce Oxenford,Shakti Singh,Vinod Seshan
