season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
2023.0,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,DP Conway,Devon Conway,1,6,-,0,0,16.66,False,False,"{'wickets': 1, 'runs': 14}",2.2, b Mohammed Shami,"<strong>Shami breaches the defences of Conway</strong>. That's his 100th IPL wicket. Nice and full, angling in from round the stumps, seaming in at Conway who aims for a booming drive and misses. Bowled through the gate. The ball clatters into middle stump",
2023.0,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,RD Gaikwad,Ruturaj Gaikwad,92,50,-,4,9,184.00,False,False,"{'wickets': 5, 'runs': 151}",17.1,c Shubman Gill b Joseph,"Joseph misses the yorker, but is still a hard-to-hit middle-stump full-toss, which is spliced into the hands of long-on. Is that a high full-toss? Gaikwad thinks so. <s>Gaikwad has asked for a review</s>. The umpires converge and ask for a review. The ball dips below the waist and therefore Gaikwad has to go. End of a terrific innings from Gaikwad. He falls eight short of a century",
2023.0,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,MM Ali,Moeen Ali,23,17,-,4,1,135.29,False,False,"{'wickets': 2, 'runs': 50}",5.5,c &dagger;Saha b Rashid Khan,"<strong>Rashid strikes back, Moeen has nicked off.</strong> Easier decision for umpire Khalid. Rashid takes this wrong'un away from the left-handed Moeen who throws his bat at ball once again. He edges it behind to Saha who clings onto the catch",
2023.0,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,BA Stokes,Ben Stokes,7,6,-,1,0,116.66,False,False,"{'wickets': 3, 'runs': 70}",7.4,c &dagger;Saha b Rashid Khan,"<strong>Rashid takes out both Moeen and Stokes</strong>. Pushed through flatter and quicker, skids away outside off from over the stumps. Stokes chops at it and edges it behind to Saha who makes this low catch look ridiculously easy",
2023.0,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,AT Rayudu,Ambati Rayudu,12,12,-,0,1,100.00,False,False,"{'wickets': 4, 'runs': 121}",12.5, b Little,"Maiden IPL wicket for Josh Little. Rayudu dashes out of the crease, swings for the hills once again, but does not lay bat on ball. Little cranks it up to almost 140ks and nails the stumps",
2023.0,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,S Dube,Shivam Dube,19,18,-,0,1,105.55,False,False,"{'wickets': 7, 'runs': 163}",18.3,c Rashid Khan b Mohammed Shami,"<strong>throat-high short ball angling across Dube</strong>. He goes for another hook, this time he holes out to Rashid Khan at deep square leg. Another mis-hit and this goes to the fielder. Dube has been put out of his misery",
2023.0,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,RA Jadeja,Ravindra Jadeja,1,2,-,0,0,50.00,False,False,"{'wickets': 6, 'runs': 153}",17.4,c Shankar b Joseph,"Joseph goes for the yorker, marginally misses it, but has Jadeja holing out to deep midwicket. Mighty full on the pads, Jadeja picks it up and picks out the fielder on the boundary",
2023.0,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,MS Dhoni,MS Dhoni,14,7,-,1,1,200.00,True,True,{},,not out,,
2023.0,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,MJ Santner,Mitchell Santner,1,3,-,0,0,33.33,False,True,{},,not out,,
2023.0,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,GT,2,WP Saha,Wriddhiman Saha,25,16,-,2,2,156.25,False,False,"{'wickets': 1, 'runs': 37}",3.5,c Dube b Hangargekar,"wicket number no. 1 for Hangargekar. In his first over. Outswinger from the hand, moves away. It is widish to start off with it. Saha still flashes at it, gets a thick edge, which settles with deep third this time",
