season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain,href
2023.0,1359475,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,Mohammed Shami,Mohammed Shami,4.0,0,29,2,7.25,13,2,2,0,1,False,https://www.espncricinfo.com/ci/content/player/481896.html
2023.0,1359475,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,HH Pandya,Hardik Pandya,3.0,0,28,0,9.33,6,2,2,0,0,True,https://www.espncricinfo.com/ci/content/player/625371.html
2023.0,1359475,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,JB Little,Josh Little,4.0,0,41,1,10.25,10,4,3,0,0,False,https://www.espncricinfo.com/ci/content/player/928067.html
2023.0,1359475,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,Rashid Khan,Rashid Khan,4.0,0,26,2,6.5,10,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/793463.html
2023.0,1359475,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,AS Joseph,Alzarri Joseph,4.0,0,33,2,8.25,8,0,3,0,0,False,https://www.espncricinfo.com/ci/content/player/670031.html
2023.0,1359475,GT v CSK,GT,CSK,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,Yash Dayal,Yash Dayal,1.0,0,14,0,14.0,2,0,2,0,0,False,https://www.espncricinfo.com/ci/content/player/1159720.html
2023.0,1359475,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,DL Chahar,Deepak Chahar,4.0,0,29,0,7.25,9,1,2,0,0,False,https://www.espncricinfo.com/ci/content/player/447261.html
2023.0,1359475,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,TU Deshpande,Tushar Deshpande,3.2,0,51,1,15.3,5,4,4,1,1,False,https://www.espncricinfo.com/ci/content/player/822553.html
2023.0,1359475,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,RS Hangargekar,Rajvardhan Hangargekar,4.0,0,36,3,9.0,10,4,1,3,1,False,https://www.espncricinfo.com/ci/content/player/1175429.html
2023.0,1359475,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,MJ Santner,Mitchell Santner,4.0,0,32,0,8.0,7,5,0,0,0,False,https://www.espncricinfo.com/ci/content/player/502714.html
2023.0,1359475,GT v CSK,GT,CSK,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,RA Jadeja,Ravindra Jadeja,4.0,0,28,1,7.0,9,1,1,0,0,False,https://www.espncricinfo.com/ci/content/player/234675.html
2023.0,1359476,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,1,UT Yadav,Umesh Yadav,4.0,0,27,1,6.75,11,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/376116.html
2023.0,1359476,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,1,TG Southee,Tim Southee,4.0,0,54,2,13.5,7,6,3,0,0,False,https://www.espncricinfo.com/ci/content/player/232364.html
2023.0,1359476,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,1,SP Narine,Sunil Narine,4.0,0,40,1,10.0,8,3,2,1,0,False,https://www.espncricinfo.com/ci/content/player/230558.html
2023.0,1359476,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,1,CV Varun,Varun Chakravarthy,4.0,0,26,1,6.5,10,2,1,1,0,False,https://www.espncricinfo.com/ci/content/player/1108375.html
2023.0,1359476,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,1,SN Thakur,Shardul Thakur,4.0,0,43,0,10.75,7,4,2,0,1,False,https://www.espncricinfo.com/ci/content/player/475281.html
2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,SM Curran,Sam Curran,3.0,0,38,1,12.66,4,3,3,0,0,False,https://www.espncricinfo.com/ci/content/player/662973.html
2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,Arshdeep Singh,Arshdeep Singh,3.0,0,19,3,6.33,10,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/1125976.html
2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,NT Ellis,Nathan Ellis,3.0,0,27,1,9.0,8,2,1,0,2,False,https://www.espncricinfo.com/ci/content/player/826915.html
2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,Sikandar Raza,Sikandar Raza,3.0,0,25,1,8.33,5,3,0,1,0,False,https://www.espncricinfo.com/ci/content/player/299572.html
2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,R Dhawan,Rishi Dhawan,1.0,0,15,0,15.0,2,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/290727.html
2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,RD Chahar,Rahul Chahar,2.0,0,12,1,6.0,5,0,1,0,0,False,https://www.espncricinfo.com/ci/content/player/1064812.html
2023.0,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,Harpreet Brar,Harpreet Brar,1.0,0,7,0,7.0,3,1,0,0,0,False,https://www.espncricinfo.com/ci/content/player/1168641.html
2023.0,1359477,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,1,KK Ahmed,Khaleel Ahmed,4.0,0,30,2,7.5,15,3,2,1,0,False,https://www.espncricinfo.com/ci/content/player/942645.html
2023.0,1359477,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,1,Mukesh Kumar,Mukesh Kumar,4.0,0,34,0,8.5,5,0,2,1,0,False,https://www.espncricinfo.com/ci/content/player/926851.html
2023.0,1359477,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,1,C Sakariya,Chetan Sakariya,4.0,0,53,2,13.25,8,1,6,3,0,False,https://www.espncricinfo.com/ci/content/player/1131754.html
2023.0,1359477,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,1,AR Patel,Axar Patel,4.0,0,38,1,9.5,8,1,3,0,0,False,https://www.espncricinfo.com/ci/content/player/554691.html
2023.0,1359477,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,1,Kuldeep Yadav,Kuldeep Yadav,4.0,0,35,1,8.75,7,0,3,0,0,False,https://www.espncricinfo.com/ci/content/player/559235.html
2023.0,1359477,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,2,KR Mayers,Kyle Mayers,1.0,0,7,0,7.0,3,1,0,1,0,False,https://www.espncricinfo.com/ci/content/player/348056.html
