season,rank,name,short_name,matchesplayed,matcheswon,matcheslost,noresult,matchpoints,nrr,for,against
2023,1,Gujarat Titans,GT,14,10,4,0,20,0.809,2450/268.1,2326/279.2
2023,2,Chennai Super Kings,CSK,14,8,5,1,17,0.652,2369/254.3,2232/257.5
2023,3,Lucknow Super Giants,LSG,14,8,5,1,17,0.284,2253/255.2,2216/259.3
2023,4,Mumbai Indians,MI,14,8,6,0,16,-0.044,2592/270.3,2620/272.1
2023,5,Rajasthan Royals,RR,14,7,7,0,14,0.148,2419/272.1,2389/273.2
2023,6,Royal Challengers Bangalore,RCB,14,7,7,0,14,0.135,2502/275.4,2435/272.2
2023,7,Kolkata Knight Riders,KKR,14,6,8,0,12,-0.239,2463/274.3,2432/264.0
2023,8,Punjab Kings,KXIP,14,6,8,0,12,-0.304,2518/275.3,2564/271.3
2023,9,Delhi Capitals,DC,14,5,9,0,10,-0.808,2182/276.0,2424/278.1
2023,10,Sunrisers Hyderabad,SRH,14,4,10,0,8,-0.59,2376/277.1,2486/271.2
2022,1,Gujarat Titans,GT,14,10,4,0,20,0.316,2339/278.1,2216/273.5
2022,2,Rajasthan Royals,RR,14,9,5,0,18,0.298,2464/279.2,2351/275.5
2022,3,Lucknow Super Giants,LSG,14,9,5,0,18,0.251,2355/279.1,2289/279.4
2022,4,Royal Challengers Bangalore,RCB,14,8,6,0,16,-0.253,2268/275.4,2260/266.3
2022,5,Delhi Capitals,DC,14,7,7,0,14,0.204,2341/266.0,2397/278.5
2022,6,Punjab Kings,KXIP,14,7,7,0,14,0.126,2343/270.1,2252/263.3
2022,7,Kolkata Knight Riders,KKR,14,6,8,0,12,0.146,2223/268.1,2249/276.1
2022,8,Sunrisers Hyderabad,SRH,14,6,8,0,12,-0.379,2197/261.3,2416/275.1
2022,9,Chennai Super Kings,CSK,14,4,10,0,8,-0.203,2288/280.0,2254/269.1
2022,10,Mumbai Indians,MI,14,4,10,0,8,-0.506,2217/273.2,2351/272.5
2021,1,Delhi Capitals,DC,14,10,4,0,20,0.481,2180/267.0,2136/278.0
2021,2,Chennai Super Kings,CSK,14,9,5,0,18,0.455,2368/272.0,2218/268.5
2021,3,Royal Challengers Bangalore,RCB,14,9,5,0,18,-0.14,2165/273.4,2159/268.1
2021,4,Kolkata Knight Riders,KKR,14,7,7,0,14,0.587,2119/259.5,2080/274.5
2021,5,Mumbai Indians,MI,14,7,7,0,14,0.116,2117/265.5,2128/271.1
2021,6,Punjab Kings,KXIP,14,6,8,0,12,-0.001,2150/270.1,2117/266.0
2021,7,Rajasthan Royals,RR,14,5,9,0,10,-0.993,2196/276.0,2318/259.0
2021,8,Sunrisers Hyderabad,SRH,14,3,11,0,6,-0.545,2077/277.1,2216/275.4
2020,1,Mumbai Indians,MI,14,9,5,0,18,1.107,2378/262.2,2187/274.5
2020,2,Delhi Capitals,DC,14,8,6,0,16,-0.109,2289/278.5,2271/273.0
2020,3,Sunrisers Hyderabad,SRH,14,7,7,0,14,0.608,2225/269.3,2125/277.5
2020,4,Royal Challengers Bangalore,RCB,14,7,7,0,14,-0.172,2147/272.2,2183/271.0
2020,5,Kolkata Knight Riders,KKR,14,7,7,0,14,-0.214,2219/278.0,2206/269.1
2020,6,Kings XI Punjab,KXIP,14,6,8,0,12,-0.162,2335/277.5,2343/273.3
2020,7,Chennai Super Kings,CSK,14,6,8,0,12,-0.455,2191/274.3,2275/269.4
2020,8,Rajasthan Royals,RR,14,6,8,0,12,-0.569,2288/272.4,2482/277.0
2019,1,Mumbai Indians,MI,14,9,5,0,18,0.421,2380/275.1,2282/277.2
2019,2,Chennai Super Kings,CSK,14,9,5,0,18,0.131,2043/274.1,2012/274.5
2019,3,Delhi Capitals,DC,14,9,5,0,18,0.044,2207/272.5,2238/278.1
2019,4,Sunrisers Hyderabad,SRH,14,6,8,0,12,0.577,2288/269.2,2200/277.5
2019,5,Kolkata Knight Riders,KKR,14,6,8,0,12,0.028,2466/270.4,2419/266.2
2019,6,Kings XI Punjab,KXIP,14,6,8,0,12,-0.251,2429/276.3,2503/277.0
2019,7,Rajasthan Royals,RR,14,5,8,1,11,-0.449,2153/257.0,2192/248.2
2019,8,Royal Challengers Bangalore,RCB,14,5,8,1,11,-0.607,2146/258.4,2266/254.3
2018,1,Sunrisers Hyderabad,SRH,14,9,5,0,18,0.284,2230/273.3,2193/278.4
2018,2,Chennai Super Kings,CSK,14,9,5,0,18,0.253,2488/275.3,2433/277.1
2018,3,Kolkata Knight Riders,KKR,14,8,6,0,16,-0.07,2363/265.1,2425/270.0
2018,4,Rajasthan Royals,RR,14,7,7,0,14,-0.25,2130/255.3,2141/249.2
2018,5,Mumbai Indians,MI,14,6,8,0,12,0.317,2380/278.4,2282/277.3
2018,6,Royal Challengers Bangalore,RCB,14,6,8,0,12,0.129,2322/264.4,2383/275.4
2018,7,Kings XI Punjab,KXIP,14,6,8,0,12,-0.502,2210/268.4,2259/258.5
2018,8,Delhi Capitals,DC,14,5,9,0,10,-0.222,2297/258.0,2304/252.3
2017,1,Mumbai Indians,MI,14,10,4,0,20,0.784,2407/272.1,2242/278.1
2017,2,Rising Pune Supergiant,RPS,14,9,5,0,18,0.176,2180/271.0,2165/275.1
2017,3,Sunrisers Hyderabad,SRH,14,8,5,1,17,0.599,2221/252.0,2118/257.5
2017,4,Kolkata Knight Riders,KKR,14,8,6,0,16,0.641,2329/260.5,2300/277.3
2017,5,Kings XI Punjab,KXIP,14,7,7,0,14,-0.009,2207/261.2,2229/263.4
2017,6,Delhi Capitals,DC,14,6,8,0,12,-0.512,2219/276.2,2255/264.0
2017,7,Gujarat Lions,GL,14,4,10,0,8,-0.412,2406/269.5,2472/265.0
2017,8,Royal Challengers Bangalore,RCB,14,3,10,1,7,-1.299,1845/260.0,2033/242.1
2016,1,Gujarat Lions,GL,14,9,5,0,18,-0.374,2130/264.3,2285/271.1
2016,2,Royal Challengers Bangalore,RCB,14,8,6,0,16,0.932,2613/270.2,2345/268.3
2016,3,Sunrisers Hyderabad,SRH,14,8,6,0,16,0.245,2082/259.5,2078/267.3
2016,4,Kolkata Knight Riders,KKR,14,8,6,0,16,0.106,2123/253.2,2121/256.2
2016,5,Mumbai Indians,MI,14,7,7,0,14,-0.146,2194/272.2,2190/267.0
2016,6,Delhi Capitals,DC,14,7,7,0,14,-0.155,2040/259.1,2107/262.3
2016,7,Rising Pune Supergiant,RPS,14,5,9,0,10,0.015,2025/244.5,1991/241.1
2016,8,Kings XI Punjab,KXIP,14,4,10,0,8,-0.646,2134/269.4,2224/259.5
2015,1,Chennai Super Kings,CSK,14,9,5,0,18,0.709,2262/273.3,2073/274.1
2015,2,Mumbai Indians,MI,14,8,6,0,16,-0.043,2345/272.4,2371/274.2
2015,3,Royal Challengers Bangalore,RCB,14,7,5,2,16,1.037,1790/191.1,1693/203.2
2015,4,Rajasthan Royals,RR,14,7,5,2,16,0.062,2028/237.3,2002/236.1
2015,5,Kolkata Knight Riders,KKR,14,7,6,1,15,0.253,2044/236.1,2022/240.4
2015,6,Sunrisers Hyderabad,SRH,14,7,7,0,14,-0.239,2096/255.2,2126/251.4
2015,7,Delhi Capitals,DC,14,5,8,1,11,-0.049,1981/250.2,1976/248.1
2015,8,Kings XI Punjab,KXIP,14,3,11,0,6,-1.436,2003/270.0,2286/258.1
2014,1,Kings XI Punjab,KXIP,14,11,3,0,22,0.968,2427/268.3,2229/276.1
2014,2,Kolkata Knight Riders,KKR,14,9,5,0,18,0.418,2125/264.0,2110/276.3
2014,3,Chennai Super Kings,CSK,14,9,5,0,18,0.385,2272/272.0,2178/273.2
2014,4,Mumbai Indians,MI,14,7,7,0,14,0.095,2180/271.3,2170/273.3
2014,5,Rajasthan Royals,RR,14,7,7,0,14,0.06,2155/269.5,2164/273.0
2014,6,Sunrisers Hyderabad,SRH,14,6,8,0,12,-0.399,2102/263.4,2136/255.1
2014,7,Royal Challengers Bangalore,RCB,14,5,9,0,10,-0.428,2093/273.5,2163/268.0
2014,8,Delhi Capitals,DC,14,2,12,0,4,-1.182,1980/263.2,2184/251.0
2013,1,Chennai Super Kings,CSK,16,11,5,0,22,0.53,2461/303.5,2310/305.1
2013,2,Mumbai Indians,MI,16,11,5,0,22,0.441,2514/318.1,2350/315.0
2013,3,Rajasthan Royals,RR,16,10,6,0,20,0.322,2405/310.5,2326/313.4
2013,4,Sunrisers Hyderabad,SRH,16,10,6,0,20,0.003,2166/308.5,2206/314.4
2013,5,Royal Challengers Bangalore,RCB,16,9,7,0,18,0.457,2571/301.0,2451/303.1
2013,6,Kings XI Punjab,KXIP,16,8,8,0,16,0.226,2428/305.2,2417/312.5
2013,7,Kolkata Knight Riders,KKR,16,6,10,0,12,-0.095,2290/313.4,2316/313.1
2013,8,Pune Warriors,PWI,16,4,12,0,8,-1.006,2262/318.4,2519/310.5
2013,9,Delhi Capitals,DC,16,3,13,0,6,-0.848,2234/314.5,2436/306.4
2012,1,Delhi Capitals,DC,16,11,5,0,22,0.617,2365/283.5,2361/306.0
2012,2,Kolkata Knight Riders,KKR,16,10,5,1,21,0.561,2150/285.1,2032/291.1
2012,3,Mumbai Indians,MI,16,10,6,0,20,-0.1,2313/312.3,2343/312.2
2012,4,Chennai Super Kings,CSK,16,8,7,1,17,0.1,2232/293.3,2144/285.4
2012,5,Royal Challengers Bangalore,RCB,16,8,7,1,17,-0.022,2472/296.2,2505/299.3
2012,6,Kings XI Punjab,KXIP,16,8,8,0,16,-0.216,2390/313.3,2455/313.1
2012,7,Rajasthan Royals,RR,16,7,9,0,14,0.201,2516/316.0,2402/309.3
2012,8,Deccan Chargers,SRH,16,4,11,1,9,-0.509,2312/298.4,2405/291.3
2012,9,Pune Warriors,PWI,16,4,12,0,8,-0.551,2321/319.2,2424/310.0
2011,1,Royal Challengers Bangalore,RCB,14,9,4,1,19,0.326,1962/237.0,2000/251.3
2011,2,Chennai Super Kings,CSK,14,9,5,0,18,0.443,2118/265.1,1978/262.1
2011,3,Mumbai Indians,MI,14,9,5,0,18,0.04,1998/275.2,1951/270.2
2011,4,Kolkata Knight Riders,KKR,14,8,6,0,16,0.433,1888/249.2,1861/260.4
2011,5,Kings XI Punjab,KXIP,14,7,7,0,14,-0.051,2224/275.4,2173/267.4
